"filename", "language", "C#", "comment", "blank", "total"
"e:\Unity Projects\Project\My project\Assets\Scripts\Player\Player.cs", "C#", 21, 1, 10, 32
"e:\Unity Projects\Project\My project\Assets\Scripts\UIController\UIInfoplate.cs", "C#", 39, 4, 12, 55
"e:\Unity Projects\Project\My project\Assets\Scripts\UIController\UINameplate.cs", "C#", -23, -4, -6, -33
"Total", "-", 37, 1, 16, 54
